Регион,Население,Медианная зп (руб),92,95,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум
Республика Хакасия,534938,14289.7,32.72,35.21,35.51,192.70,22.60,238.00,6.20,260.65,68.83,7923.00
Ростовская область,4243806,17588.6,32.57,35.33,32.33,136.60,21.00,167.80,5.90,127.38,71.3,7763.00
Рязанская область,1138141,16697.3,32,34.54,33.53,211.30,28.70,281.70,4.40,84.64,70.8,7071.00
Самарская область,3211931,19350.3,32.12,34.79,33.78,136.10,16.60,179.80,3.00,158.04,69.63,7788.00
Санкт-Петербург,5161816,23978.6,32.49,35.98,34.32,159.30,8.00,193.80,1.40,110.02,74.57,8015.00
Саратовская область,2494788,13924.8,32.03,34.74,33.61,124.30,16.90,153.40,4.60,108.88,70.95,6750.00
Сахалинская область,489708,31511.2,39.91,43.12,42.45,167.40,26.50,227.90,6.50,234.39,67.89,11794.00
Свердловская область,4324074,23195,31.66,34.05,34.62,93.40,14.70,121.90,6.10,161.19,69.76,7896.00
Смоленская область,966343,16446.1,31.92,34.29,33.9,137.30,25.80,167.50,5.10,142.10,69.44,8441.00
Ставропольский край,2796990,15942.1,32.21,36.19,31.96,111.00,20.00,141.00,5.30,119.79,72.75,6956.00
Тамбовская область,1065677,16804.5,32.17,34.75,32.21,188.80,23.50,259.40,4.30,107.33,71.11,6579.00
Тверская область,1320160,17066.8,31.95,34.76,33.92,157.90,26.20,195.60,5.30,153.12,68.43,7993.00
Томская область,1072290,18997.6,30.63,33.6,34.16,81.90,12.00,94.60,7.60,192.65,70.67,8607.00
Тульская область,1517533,17524.6,32,34.58,33.15,192.80,25.60,246.70,4.10,80.72,69.63,7368.00
Тюменская область,3563819,19248.6,32.12,33.92,35.57,231.10,19.20,318.70,5.50,214.61,70.32,8161.00
Удмуртская Республика,1517261,16013,31.9,34.54,34.46,92.10,16.60,99.60,5.10,177.15,70.03,7181.00
Ульяновская область,1265055,16028.9,32.21,35.12,33.02,146.80,17.60,193.70,4.80,121.74,70.37,7157.00
Хабаровский край,1339108,24322.4,34.5,37.16,37.13,151.10,13.50,187.00,5.90,220.90,68.01,11137.00
Ханты-Мансийский автономный округ — Югра,1604662,30052.5,34.28,36.1,37.53,131.40,17.40,175.50,4.60,151.13,72.27,11552.00
Челябинская область,3493663,18022.6,30.55,33.17,33.65,144.30,18.10,178.80,6.20,179.68,69.71,7809.00
Чеченская Республика,1358353,14860.1,32.77,35.28,29.25,36.10,13.00,61.40,21.50,25.99,73.06,6622.00
Чувашская Республика,1239028,13096,32.21,35.09,33.51,155.90,19.80,194.20,5.00,111.15,70.62,6805.00
Чукотский автономный округ,50548,44307.5,50,54,50,47.50,5.90,53.40,3.20,127.58,62.32,14569.00
Ямало-Ненецкий автономный округ,539828,45032.3,37.08,38.13,38.88,118.20,12.80,155.80,3.10,166.92,71.92,13617.00
Ярославская область,1271697,17708.5,31.05,33.22,33.52,155.90,21.70,192.20,3.80,121.97,70.64,7192.00
