Регион;Население;Медианная зп (руб);92;95;дт;ДТП на 100000 чел;ДТП с погибшими (на 100000 чел);ДТП с ранеными на 100000 чел;Уровень безработицы, %;Преступность(кол-во на 10000 чел);Продолжительность жизни;Прожиточный минимум;
Алтайский край;2357880;17415,1;36,59;38,54;39,97;131,80;12,60;167,50;6,90;169,32;71,1;9115,00;
Амурская область;800088;22618,6;39,74;41,69;43,53;151,90;18,10;197,30;5,90;230,81;69,06;11330,00;
Архангельская область;1160389;24394,8;37,47;40,78;40,8;136,30;11,20;171,50;6,40;171,09;71,96;11700,00;
Астраханская область;1018190;18355,4;38,47;41,73;38,74;121,60;8,20;159,30;7,50;131,83;73,35;9363,00;
Белгородская область;1551370;23311;38,14;41,13;39,53;90,00;10,50;112,70;3,90;82,07;73,67;8310,00;
Брянская область;1215756;19860,3;37,33;40,31;38,49;104,80;12,70;128,70;4,40;118,37;71,27;9536,00;
Владимирская область;1383968;19241,1;37,77;40,47;40,42;173,70;21,20;231,70;4,80;131,38;71,15;9467,00;
Волгоградская область;2528239;18106,9;38,5;41,75;39,14;102,10;12,10;129,30;6,00;157,31;73,54;9096,00;
Вологодская область;1180274;21143,9;38,59;40,54;41,23;127,00;11,10;161,10;5,30;173,09;71,26;10581,00;
Воронежская область;2334588;22460,7;38,67;41,66;38,79;133,20;20,30;167,70;4,30;139,47;73,03;8364,00;
Еврейская автономная область;163115;19392,6;39,48;41,94;43,45;133,60;19,60;184,50;8,30;219,95;68,83;12497,00;
Забайкальский край;1075894;18078;41,41;43,12;45,16;129,50;20,50;173,50;10,70;250,16;69,64;10735,00;
Ивановская область;1018908;19938,6;37,19;39,3;39,37;142,70;11,10;180,60;4,70;155,82;71,47;9816,00;
Иркутская область;2406548;18679,8;39,05;41,34;41,49;140,60;15,00;177,70;8,70;191,07;69,19;10043,00;
Кабардино-Балкарская Республика;865140;16662,5;39,02;41,92;38,27;78,90;15,80;91,80;10,50;77,84;75,81;10757,00;
Калининградская область;990429;21391,6;39,89;42,1;40,91;132,50;12,30;151,60;5,20;174,71;72,62;10510,00;
Калужская область;1013363;22954,6;35,81;38,82;36,93;155,80;17,10;203,40;4,00;173,85;71,87;9739,00;
Камчатский край;315142;36544,2;46,34;47,93;50,31;172,60;21,60;234,60;4,30;194,93;70,06;19438,00;
Карачаево-Черкесская Республика;466368;14522,6;39,11;42,04;38,47;130,40;14,80;196,50;13,50;86,89;75,94;9022,00;
Кемеровская область;2701860;17998,8;36,78;39,36;39,71;109,30;11,20;144,80;7,10;210,64;69,35;9222,00;
Кировская область;1287461;17949;38,25;40,75;41,87;124,10;13,60;154,00;5,30;163,69;72,72;9508,00;
Костромская область;645740;19587,3;37,47;39,5;40,01;121,30;9,90;156,60;5,30;136,59;71,81;9590,00;
Краснодарский край;5587182;25248,2;39,27;42,53;38,63;114,80;18,90;138,50;5,70;121,46;73,42;10062,00;
Красноярский край;2875898;22211,4;37,77;40,68;42,41;131,40;13,90;165,10;5,70;177,67;70,61;11349,00;
Курганская область;849823;16662,6;36,61;39,18;39,79;130,50;18,00;167,90;9,10;209,27;70,8;9530,00;
Курская область;1119065;20700,7;37,75;40,69;38,98;143,00;18,00;184,90;4,10;105,66;71,74;8751,00;
Ленинградская область;1802866;23556,5;37,4;40,4;39,94;153,90;23,80;203,10;4,60;102,73;72,54;9477,00;
Липецкая область;1153211;22482,7;38,2;40,62;38,76;142,40;20,80;177,30;3,90;109,75;72,46;8586,00;
Магаданская область;144830;42647,1;51,07;50,56;53,06;186,20;24,80;240,70;5,30;190,36;69,37;17957,00;
Москва;12443566;48505,5;38,37;41,75;39,9;71,60;4,00;81,70;1,40;113,19;77,87;15865,00;
Московская область;7463427;32528;37,51;41,59;39,06;89,80;14,30;107,70;3,20;113,57;73,34;11667,00;
Мурманская область;755588;31586,7;39,48;42,75;43,68;106,80;7,90;143,60;7,00;168,59;71,67;14230,00;
Ненецкий автономный округ;43967;54319,4;41,06;44,12;45,79;90,90;6,80;109,10;8,00;177,30;71,52;20791,00;
Нижегородская область;3241232;23208,6;37,4;40,43;39,28;164,10;12,60;207,40;4,20;129,71;71,88;9104,00;
Новгородская область;609499;20740,4;37,63;41,06;40,06;189,20;23,30;242,00;4,70;181,27;69,68;10155,00;
Новосибирская область;2784202;21864;36,84;39,78;41,56;97,70;9,80;120,40;6,00;159,55;71,57;10743,00;
Омская область;1966382;19121,8;36,93;40,54;40,72;150,60;11,20;189,20;7,00;144,31;71,49;8877,00;
Оренбургская область;1983654;17969,2;37,07;40,27;40,45;116,60;14,90;147,60;4,60;136,77;70,94;8554,00;
Орловская область;751031;19148,2;37,36;40,27;37,8;119,10;14,90;144,20;6,50;117,22;71,63;9249,00;
Пензенская область;1336591;17356,5;36,84;39,9;38,55;145,40;16,60;198,40;4,50;88,10;73,34;8690,00;
Пермский край;2627609;21506,1;37,92;40,67;42,31;131,60;12,90;169,30;6,10;167,15;70,79;9978,00;
Приморский край;1918076;25438,8;39,82;41,38;43,85;145,30;13,80;180,20;5,40;190,41;70,36;12408,00;
Псковская область;639355;19016,7;37,68;41,47;40,7;169,70;19,70;226,70;6,50;128,94;69,95;10545,00;
Республика Адыгея;453371;20279,8;39,69;42,91;38,69;124,40;20,70;145,40;8,80;88,54;73,25;8909,00;
Республика Алтай;217535;14973,5;36,22;40,09;38,17;126,00;16,50;161,40;12,00;213,40;71,15;9684,00;
Республика Башкортостан;4065132;21117,2;37,02;40,14;40,38;107,90;12,60;137,50;5,60;149,98;71,73;8614,00;
Республика Бурятия;984322;18405,7;37,63;39,72;40,8;130,10;13,80;166,80;9,60;239,91;70,69;9777,00;
Республика Дагестан;3052892;20318,4;38,81;40,79;36,87;60,40;14,20;92,60;12,00;48,02;77,79;9405,00;
Республика Ингушетия;484259;12790,2;36,9;38,9;32,04;49,20;17,30;81,40;27,00;33,43;81,59;9020,00;
Республика Калмыкия;276607;13384,5;38,5;41,44;38,68;174,60;25,30;266,10;10,00;109,00;73,54;8669,00;
Республика Карелия;624783;22771,1;37,09;40,25;40,87;100,80;16,30;125,20;8,60;180,09;70,65;12528,00;
Республика Коми;845712;25198,8;38,73;40,38;42,35;126,30;10,50;177,60;7,80;202,61;71,05;12405,00;
Республика Крым;1912950;16371,9;40,92;45,05;42,83;108,40;17,80;144,60;6,40;113,54;72;9602,00;
Республика Марий Эл;683508;15414,5;37,24;39,94;39,44;113,80;14,30;156,40;6,10;107,38;72,24;9114,00;
Республика Мордовия;806799;14745,1;36,77;39,85;39,86;132,70;14,50;177,30;4,20;98,47;73,4;8157,00;
Республика Саха (Якутия);963582;30989;48,83;49,64;50,19;104,20;11,60;136,20;7,10;128,78;71,68;16554,00;
Республика Северная Осетия — Алания;702512;18240,8;37,44;39,48;37,57;104,20;16,50;146,60;11,80;101,60;75,51;9032,00;
Республика Татарстан;3889768;24748,9;37;39,79;39,4;120,60;11,00;147,40;3,50;118,64;74,2;8467,00;
Республика Тыва;320135;12232,6;38,34;40,09;44,52;168,40;30,90;244,00;18,30;366,28;66,29;9697,00;
Республика Хакасия;537591;16437,5;36,75;38,51;41,87;116,30;18,00;139,00;4,90;214,41;70,21;9289,00;
Ростовская область;4225903;21288,2;38,61;42,04;38,64;109,50;14,20;138,20;5,60;139,70;73,03;9667,00;
Рязанская область;1124107;19374,2;37,3;39,97;38,8;161,70;19,80;223,60;4,10;84,69;72,7;9174,00;
Самарская область;3198596;21266;37,91;40,95;39,38;116,40;11,70;152,00;4,20;137,43;71,73;9808,00;
Санкт-Петербург;5316757;31937;38,16;41,35;40,65;118,60;4,90;141,00;1,70;98,72;75,45;10737,00;
Саратовская область;2471105;16326;37,62;40,62;39,42;127,10;14,50;167,40;4,80;116,30;72,88;8607,00;
Сахалинская область;488763;37741,9;44,33;46,92;49,08;157,70;20,70;194,90;6,00;234,93;70,19;13681,00;
Свердловская область;4327299;26594,1;36,95;39,75;40,44;59,20;9,50;76,90;5,50;134,66;71,23;10094,00;
Севастополь;432712;22691,5;40,4;42,6;41,31;124,10;10,60;149,80;4,60;113,33;73,37;10106,00;
Смоленская область;951273;19487,3;37,82;40,96;39,33;105,00;13,80;126,50;5,70;136,40;71,14;10037,00;
Ставропольский край;2802528;17767;39,48;42,56;39,29;111,40;16,30;150,20;5,20;113,13;74,19;8543,00;
Тамбовская область;1036939;20444;37,83;40,74;39,41;137,40;14,00;181,10;4,40;110,64;73,21;8509,00;
Тверская область;1290336;20214,6;38,16;41,1;40,08;137,80;17,20;177,00;4,50;154,62;70,45;10000,00;
Томская область;1078585;21449,3;36,62;38,75;41,3;76,90;8,90;93,70;6,30;174,10;72,02;10747,00;
Тульская область;1495636;21849,6;37,33;40,3;38,97;152,70;20,50;200,90;3,90;83,70;71,18;9303,00;
Тюменская область;3676215;21553,9;36,77;39,86;41,2;186,80;16,10;241,00;5,00;178,98;72,06;10471,00;
Удмуртская Республика;1514935;19144,8;37,7;40,35;40,62;131,50;13,30;163,60;4,80;159,37;72,06;8750,00;
Ульяновская область;1249752;18702,3;37,56;40,49;39,5;116,90;14,10;150,80;4,40;108,44;72,34;9390,00;
Хабаровский край;1330798;29016,3;39,1;41,48;43,53;145,00;10,80;186,30;4,90;180,18;69,74;12954,00;
Ханты-Мансийский автономный округ — Югра;1650576;37572,1;39,38;41,61;44,52;109,40;13,10;154,90;3,30;137,59;73,87;14526,00;
Челябинская область;3497679;19310,4;36,25;39,46;39,56;132,50;10,60;169,30;6,60;194,77;71,53;9426,00;
Чеченская Республика;1425923;17449,6;35,61;39,15;31,84;19,50;7,90;30,20;14,00;27,94;74,84;9754,00;
