Регион,Население,Медианная зп (руб),92,95,98,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни
Алтайский край,2341447,17948.5,40.61,42.5,47.1,44.55,123.90,10.10,158.70,6.10,164.06,71.11,9369.00,77.371
Амурская область,795809,23588.2,42.37,44.45,46.69,47.37,152.40,17.10,194.00,5.60,220.35,69.11,11190.00,75.687
Архангельская область,1149574,25622,40.74,44.24,48.82,44.24,136.30,11.10,178.70,6.30,164.95,72.09,11857.00,72.453
Астраханская область,1015790,18959.1,41.72,45.26,48.66,43.8,117.70,9.20,156.60,7.50,132.18,73.48,9538.00,66.147
Белгородская область,1548647,23668,41.32,44.53,49.48,44.49,82.50,10.00,103.30,4.00,85,73.67,8338.00,64.426
Брянская область,1205584,20914.6,41.21,44.36,48.68,45.3,104.80,14.80,125.00,3.90,118.51,71.71,9787.00,63.973
Владимирская область,1372071,19352,41.5,44.95,49.06,45.44,174.10,19.20,230.20,4.70,125.82,71.23,9591.00,60.757
Волгоградская область,2514392,18589.5,41.6,45.15,50.5,43.81,101.90,10.40,135.10,5.60,153.27,73.47,9146.00,60.113
Вологодская область,1172201,21926.3,42.25,44.7,48.53,45.91,133.70,12.20,172.20,5.10,152.41,71.43,10795.00,59.245
Воронежская область,2330795,23107.1,42.38,45.75,49.54,44.25,129.10,19.00,165.30,3.70,125.74,73.15,8578.00,58.935
Еврейская автономная область,160964,20192.9,42.34,43.84,44.2,46.07,153.50,19.90,187.00,7.00,227.57,68.6,12829.00,58.148
Забайкальский край,1069296,19099,46.36,48.32,50.77,51.97,127.70,22.90,160.10,10.20,227.64,68.99,11172.00,57.966
Ивановская область,1009413,19784.9,40.64,42.96,47.54,43.96,129.60,8.00,172.30,4.20,139.05,71.29,9960.00,56.672
Иркутская область,2400979,19508.8,42.25,44.63,47.58,46.56,141.20,14.70,176.80,7.60,187.3,69.31,10475.00,56.302
Кабардино-Балкарская Республика,866023,16792.7,42.58,46.08,50.97,43.57,70.20,18.90,83.90,10.50,76.44,76.28,10633.00,55.391
Калининградская область,998392,22208.3,43.39,46.08,52.54,46.18,119.30,11.10,139.80,4.70,137.56,72.92,10882.00,55.077
Калужская область,1010768,23489.5,39.89,42.64,47.79,42.45,152.80,18.90,199.40,3.90,167.61,71.89,10278.00,54.769
Камчатский край,315139,38625.2,48.1,49.9,52.39,52.72,160.20,15.50,218.60,4.90,189.69,70.09,19481.00,54.214
Карачаево-Черкесская Республика,465934,14788.7,42.33,45.39,52.55,43.36,112.90,17.60,168.70,12.10,87.27,76.09,9257.00,54.124
Кемеровская область,2684566,18768.1,40.26,42.89,47.67,45,103.60,11.10,141.30,6.10,197.76,69.32,9278.00,53.043
Кировская область,1277673,18402.6,41.85,45.6,50.95,46.04,137.40,13.60,175.20,5.10,159.33,72.47,9774.00,53.016
Костромская область,640296,19659.8,41.28,43.56,45.95,44.65,117.30,10.00,150.20,4.50,124.46,71.87,9775.00,52.435
Краснодарский край,5625827,26011.7,42.74,46.2,50.92,43.47,124.60,18.70,154.20,5.20,121.08,74.3,10209.00,51.249
Красноярский край,2875261,23125.1,42.06,44.72,48.8,48.29,124.70,13.50,150.30,4.90,159.64,70.71,11643.00,50.201
Курганская область,840118,16552.8,39.76,42.57,46.81,43.7,140.80,17.50,173.30,8.00,207.83,70.78,9568.00,49.898
Курская область,1111139,21679.1,41.32,44.61,49.72,44.77,144.00,18.00,182.40,4.00,109.89,71.91,9061.00,49.597
Ленинградская область,1830841,25058.3,41.85,44.94,51.72,45.61,161.90,23.90,213.20,4.10,118.4,73.07,9975.00,48.779
Липецкая область,1147118,23144.2,41.51,44.99,49.55,44.46,135.90,18.00,170.60,3.80,107.61,72.62,8687.00,48.778
Магаданская область,142663,46331.5,52.91,53.21,53.21,61.51,173.10,21.00,220.80,5.10,206.85,69.62,18213.00,48.511
Москва,12560873,50861.3,42.21,45.93,51.44,44.32,72.90,3.70,83.30,1.20,111.89,77.84,16149.00,47.973
Московская область,7551516,34342.3,41.53,45.31,51.45,44.41,78.60,12.40,96.10,2.70,106.33,73.52,11946.00,47.868
Мурманская область,750806,33644.7,42.66,45.74,47.9,47.9,117.90,8.90,162.00,6.80,160.96,71.68,14573.00,47.763
Ненецкий автономный округ,43913,57348.2,44.14,48.09,48.92,50.43,72.90,6.80,75.10,8.10,195.16,71.85,20488.00,47.573
Нижегородская область,3224687,24178.9,41,44.19,48.17,43.84,171.40,12.00,217.70,4.20,129.12,71.69,9371.00,47.465
Новгородская область,603386,20727.6,41.02,44.05,51.79,45.24,190.80,18.60,239.20,4.20,180.43,70.26,10424.00,47.308
Новосибирская область,2791116,22691.5,40.31,43.27,47.87,46.08,90.60,10.70,114.00,6.70,170.91,71.83,10772.00,47.307
Омская область,1952137,19815.7,40.31,42.73,47.68,45.3,153.50,11.70,195.10,6.80,137.94,71.96,9121.00,47.222
Оренбургская область,1970364,18339.2,40.68,44.52,48.44,44.74,113.00,13.90,144.30,4.40,133.11,71.45,8695.00,47.184
Орловская область,743356,19910.3,41.5,44.23,49.87,44.51,107.60,15.10,138.80,4.90,120.98,71.56,9513.00,46.955
