Регион,Население,Медианная зп (руб),92,95,98,дт,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),ДТП с ранеными на 100000 чел,Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни
Пензенская область,1324878,17818.5,40.86,43.91,48.17,43.56,144.40,16.00,193.20,4.40,96.83,73.21,8841.00,46.924
Пермский край,2616961,21824.2,41.34,44.35,49.33,45.96,131.60,11.20,168.30,5.40,161.28,70.72,10098.00,46.650
Приморский край,1907877,26906.1,42.13,43.56,46.09,46.01,150.30,16.20,189.10,5.40,172.05,70.48,12454.00,46.506
Псковская область,633098,19472.9,40.8,43.81,49.5,44.65,159.80,19.30,224.50,5.70,125.78,70.16,10586.00,46.280
Республика Адыгея,454060,20876.1,43.04,46.66,52.55,44.09,119.60,22.50,143.40,8.60,90.43,73.56,8947.00,46.260
Республика Алтай,218464,15482.1,41.71,44.35,48.23,45.59,141.00,16.50,190.90,11.20,210.65,70.59,9581.00,45.978
Республика Башкортостан,4057148,21656.5,40.52,43.59,47.87,43.9,108.60,13.60,136.00,4.90,141.55,72.06,8838.00,45.925
Республика Бурятия,983891,18924.8,40.53,42.95,46.33,45.09,121.90,13.60,166.10,9.30,238.96,70.84,10320.00,45.402
Республика Дагестан,3075006,19822.5,43.83,45.81,48.57,42.06,56.50,12.00,85.50,11.60,48.16,78.69,9262.00,45.270
Республика Ингушетия,492717,13331.9,39.61,41.64,48.57,37.49,41.80,12.20,72.50,26.60,33.59,82.41,9703.00,45.200
Республика Калмыкия,274029,14121.2,42.21,45.29,49.19,43.98,173.30,30.30,256.50,9.70,100.32,73.84,9056.00,44.469
Республика Карелия,620269,24054,41.51,45.01,49.19,46.94,124.90,12.10,164.60,8.70,192.72,70.56,12863.00,43.801
Республика Коми,835553,26538.2,41.68,44.01,51.04,46.87,127.50,12.10,173.30,7.30,200.27,71.06,12776.00,43.260
Республика Марий Эл,681356,15727.5,41,44.42,50.02,45.07,115.50,12.20,154.40,5.00,112.48,71.99,8968.00,42.166
Республика Мордовия,800280,15197.4,40.47,44.09,47.14,45.01,137.00,18.50,190.40,4.20,96.59,73.66,8417.00,41.725
Республика Саха (Якутия),965669,32227.8,51.98,52.54,54.13,54.71,103.80,12.40,133.50,6.90,123.6,72.72,16511.00,41.681
Республика Северная Осетия — Алания,700508,18595.5,42.28,44.85,51.33,43.63,131.50,15.40,185.70,10.50,102.84,75.68,9031.00,41.602
Республика Татарстан,3896456,25748,40.5,43.18,49.52,43.23,118.40,9.70,146.20,3.30,111.86,74.35,8729.00,41.521
Республика Тыва,323073,12806.8,43.75,46.32,48.92,53.48,164.00,28.50,243.90,14.80,286.44,66.47,9957.00,40.685
Республика Хакасия,536840,17513.4,41.03,43.03,45.97,46.13,104.90,12.10,131.90,5.20,203.79,71.15,9822.00,40.553
Ростовская область,4211386,22113,42.95,46.23,50.59,44.48,93.20,13.20,115.40,5.10,131.69,73.21,9675.00,40.353
Рязанская область,1117805,20327.8,41.27,44.27,49.9,44.27,163.40,19.60,216.80,4.20,83.63,72.84,9545.00,40.183
Самарская область,3188276,22102.6,40.87,44.12,50.53,43.46,126.10,10.80,166.00,3.70,130.04,72.31,9977.00,39.984
Санкт-Петербург,5367912,33994.8,41.86,45.37,52.26,46.11,120.40,4.30,143.30,1.50,95.79,75.93,10987.00,39.827
Саратовская область,2451882,17113.9,41.2,44.37,49.5,43.2,131.00,13.10,174.10,5.00,118.41,72.95,8610.00,39.548
Сахалинская область,489910,39775.7,45.83,47.63,51.02,50.81,148.00,19.20,182.10,5.30,204.04,69.92,13726.00,39.255
Свердловская область,4320477,27818.3,40.5,43.31,49.14,44.22,66.30,8.70,86.40,4.80,128.31,71.29,10462.00,39.240
Смоленская область,945856,20243.1,41.18,44.65,47.63,44.4,109.40,15.10,141.70,5.20,132.42,71.16,10201.00,39.102
Ставропольский край,2797958,18392.9,43.01,46.36,51.18,44.03,113.80,15.70,151.60,5.00,115.45,74.18,8659.00,38.954
Тамбовская область,1024759,21138.8,41.48,44.69,49.26,44.13,137.80,15.80,186.60,4.10,117.2,72.95,8654.00,38.766
Тверская область,1276754,20805.7,41.28,44.22,47.82,44.03,145.40,16.10,185.20,4.10,153.37,70.47,10161.00,37.617
Томская область,1077861,21897.5,40.33,42.38,46.61,45.91,72.50,7.20,87.90,6.30,165.71,72.84,10907.00,37.609
Тульская область,1485337,22133.5,41.5,44.78,50.32,44.85,151.80,19.20,202.80,3.90,90.43,71.77,9709.00,36.324
Тюменская область,3708185,22527.7,40.5,43.79,48.02,44.91,190.80,12.60,258.20,4.50,69.14,72.08,10649.00,35.676
Удмуртская Республика,1510216,19274.7,40.81,44.03,51,44.14,132.60,10.40,164.00,4.80,167.48,72.45,9026.00,34.148
Ульяновская область,1242516,18469.2,40.5,43.38,48.19,43.1,107.00,13.20,140.40,3.70,106.03,72.17,9505.00,30.526
Хабаровский край,1324887,30397.6,41.27,43.18,43.91,45.65,153.10,12.10,191.40,3.80,169.89,70.19,13295.00,29.923
Ханты-Мансийский автономный округ — Югра,1659435,38686,43.37,45.96,50.12,50.03,104.20,9.90,144.60,2.50,128.21,74.28,14428.00,28.890
Челябинская область,3484395,19789.3,39.56,42.99,48.89,44.03,122.80,11.80,158.90,5.60,186.15,71.64,9495.00,28.768
Чеченская Республика,1446966,18226.2,41.4,43.48,47.14,37.94,15.70,6.50,23.40,13.70,23.01,75.43,10285.00,28.757
Чувашская Республика,1227256,15275.1,40.85,44.06,49.8,44.69,101.90,13.20,134.60,5.00,96.35,72.95,8652.00,28.533
Чукотский автономный округ,49504,59526.4,52,56,49.8,53,64.60,4.00,66.70,3.10,151.1,63.58,21563.00,27.192
Ямало-Ненецкий автономный округ,540013,57058,42.58,44.45,52.51,48.33,92.40,8.30,115.70,2.10,142.68,74.07,15905.00,25.300
Ярославская область,1262648,21865.9,40.55,42.86,47.81,43.35,158.30,13.50,203.70,5.50,132.34,72.25,9541.00,16.195
