Регион,Население,Медианная зп (руб),92,95,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни,Индекс привлекательности рабочей силы,Социальная ориентированность бюджетов
Алтайский край,2380793,16484.3,32.04,34.84,146.7,13.1,8.0,20.371000000000002,70.44,8798.0,39.0,44.69,41.952
Амурская область,807781,22087.9,37.33,39.44,173.1,18.8,5.8,24.047,67.27,10740.0,38.51,32.01,39.507
Архангельская область,1178701,24266.7,34.21,37.59,147.5,12.0,6.8,19.572,70.7,12963.0,32.95,37.22,42.38399999999999
Астраханская область,1019956,18337.5,34.3,37.25,152.1,13.4,7.5,14.466,71.36,8452.0,43.31,52.64,35.91
Белгородская область,1549037,21710.1,33.75,36.71,80.2,13.4,4.1,10.202,72.61,8134.0,35.46,50.72,54.358000000000004
Брянская область,1229340,18514.8,32.69,35.65,114.0,19.8,4.6,14.05,70.36,8843.0,62.37,44.77,35.611999999999995
Владимирская область,1401390,18417.1,34.41,37.03,196.1,27.8,5.6,15.187999999999999,69.82,9344.0,40.94,44.66,44.298
Волгоградская область,2551667,17864.0,34.26,37.26,98.6,13.5,7.2,16.304,71.98,8889.0,44.8,57.74,46.801
Вологодская область,1189347,20101.5,35.55,37.97,139.6,11.6,6.8,24.541999999999998,70.4,10010.0,45.97,40.24,45.788999999999994
Воронежская область,2332312,22056.5,33.89,36.49,139.3,23.3,4.5,16.858,71.67,8174.0,37.71,52.6,53.934
Еврейская автономная область,167243,19269.8,37.74,39.76,148.3,25.1,7.9,21.524,65.04,12476.0,57.04,22.27,13.755
Забайкальский край,1085231,17521.0,38.96,40.78,132.4,19.6,10.4,30.689,67.34,10230.0,26.18,38.44,29.393
Ивановская область,1033374,18057.7,32.75,34.97,165.1,12.3,5.6,14.604,70.62,9462.0,25.08,38.82,29.725
Иркутская область,2413856,17279.3,35.97,38.59,138.6,19.8,8.2,22.176,67.37,9935.0,44.74,47.88,50.718999999999994
Кабардино-Балкарская Республика,861482,15101.1,35.31,38.65,83.1,19.5,10.1,10.046,74.61,8784.0,35.28,52.73,22.061999999999998
Калининградская область,972691,20304.6,35.37,37.67,124.9,17.3,5.7,17.031,70.58,9664.0,52.65,50.28,39.856
Калужская область,1010129,21636.0,32.33,34.74,203.7,26.5,4.3,18.029,70.73,9223.0,51.0,38.52,44.141000000000005
Камчатский край,316692,34129.2,43.98,45.68,175.5,17.7,4.5,18.048,68.56,18020.0,45.96,29.9,36.521
Карачаево-Черкесская Республика,468428,14256.1,34.95,38.1,109.7,27.5,15.1,8.639,74.44,8667.0,21.99,41.47,22.105999999999998
Кемеровская область,2721309,17402.7,31.85,34.85,118.8,16.0,7.7,23.003999999999998,68.31,8814.0,40.99,55.23,46.143
Кировская область,1300911,17632.7,34.1,36.37,129.9,14.8,5.3,19.805,71.11,9210.0,39.75,44.7,40.844
Костромская область,652920,17910.6,32.22,34.69,116.7,13.2,5.3,14.233,70.38,9083.0,40.55,40.85,26.409000000000002
Краснодарский край,5483566,23312.5,34.72,37.92,114.6,20.6,6.0,13.762,72.53,9349.0,63.06,60.64,56.118
Красноярский край,2862631,20646.5,33.95,37.38,156.4,19.8,6.2,21.786,69.69,10799.0,44.6,52.23,57.42
Курганская область,865855,16269.2,31.51,33.86,131.7,22.9,7.5,25.601999999999997,69.03,9032.0,29.17,35.58,28.021
Курская область,1118698,19914.7,33.13,36.51,166.1,21.8,4.2,12.73,70.8,8312.0,52.15,41.01,47.375
Ленинградская область,1777198,20167.9,33.67,36.7,193.0,34.4,5.1,11.446,71.23,8453.0,53.78,41.28,59.201
Липецкая область,1156979,21080.7,33.87,36.48,150.0,18.3,4.1,12.442,71.07,8261.0,56.54,42.32,53.836999999999996
Магаданская область,147208,39116.7,48.47,50.08,173.3,20.4,4.3,22.347,68.11,17311.0,43.63,15.57,31.658
Москва,12263861,43721.6,34.51,37.26,84.8,5.5,1.8,16.006,76.77,14749.0,76.23,53.14,82.11399999999999
Московская область,7274857,29541.3,33.72,36.85,108.4,19.1,3.3,12.333,72.26,10795.0,67.58,34.55,68.182
Мурманская область,764226,29398.4,35.41,38.23,99.2,7.3,7.8,24.216,70.24,13722.0,41.41,23.2,47.095
Ненецкий автономный округ,43606,52723.6,38.64,42.66,89.0,11.5,7.9,19.366999999999997,71.0,18577.0,34.98,57.57,41.75899999999999
Нижегородская область,3265235,22847.6,33.93,36.84,163.6,16.0,4.3,12.592,70.17,8822.0,54.96,27.32,56.589
Новгородская область,617197,20154.0,33.67,36.85,225.7,27.4,4.6,21.122,68.7,9499.0,40.1,49.35,38.935
Новосибирская область,2754529,20059.7,32.37,35.28,107.1,13.1,6.9,19.394,70.86,10425.0,49.47,48.51,47.443000000000005
Омская область,1978324,19081.6,31.89,36.1,169.0,13.1,6.8,15.543000000000001,70.41,8544.0,44.86,52.7,48.324
Оренбургская область,1997936,17911.1,33.11,37.18,118.2,17.7,4.8,15.372,69.63,8348.0,45.53,41.3,52.902
Орловская область,762475,17725.4,32.99,35.63,154.8,19.3,6.2,15.368,70.38,8764.0,44.22,55.17,33.556
Пензенская область,1352161,16877.9,33.27,36.17,155.1,17.2,4.7,10.193000000000001,72.12,8096.0,49.45,41.23,39.255
Пермский край,2635720,23223.2,34.06,36.79,157.9,16.0,6.3,22.082,69.09,9510.0,44.79,49.23,57.946000000000005
Приморский край,1931158,24550.7,37.62,39.13,171.9,15.6,6.9,24.522,69.21,12490.0,40.09,34.71,48.595
Псковская область,648741,17738.6,33.18,36.42,219.3,27.9,6.9,16.808,68.48,10266.0,38.79,39.33,26.518
Республика Адыгея,450325,17973.6,35.22,38.51,114.6,29.1,8.8,11.038,72.22,8375.0,45.67,34.44,25.017
Республика Алтай,214431,14571.7,32.09,35.62,172.0,27.0,9.7,24.884999999999998,68.44,9435.0,25.36,49.98,16.756
Республика Башкортостан,4071525,20400.3,32.81,36.29,112.1,14.8,6.1,17.421,70.08,8623.0,50.62,43.2,59.352
Республика Бурятия,980389,18191.6,35.92,38.03,139.1,16.6,9.2,28.407999999999998,69.15,9506.0,30.68,52.87,35.095
Республика Дагестан,3003015,20800.9,34.39,36.56,72.8,16.5,10.8,5.0600000000000005,76.39,8708.0,35.15,42.61,35.115
Республика Ингушетия,468334,12277.1,34.02,36.14,87.8,15.2,30.5,3.725,80.05,8704.0,18.74,42.37,14.685
Республика Калмыкия,279649,12241.7,34.46,37.1,198.8,33.2,10.7,11.309000000000001,72.15,8546.0,23.54,35.36,17.743
Республика Карелия,631204,21397.0,33.67,36.67,126.8,14.7,8.8,24.818,69.16,11671.0,34.75,30.27,28.476
Республика Коми,860627,23914.9,35.31,37.53,129.3,14.5,7.0,27.679000000000002,69.4,11443.0,39.15,35.36,50.347
Республика Марий Эл,686650,14694.2,32.82,35.92,150.7,14.7,5.3,12.161,69.8,8717.0,39.6,37.6,30.949
Республика Мордовия,808171,14200.0,33.9,36.9,115.9,18.9,4.2,11.361,72.06,8149.0,41.53,40.48,30.984
Республика Саха (Якутия),958291,28388.2,45.95,47.1,104.1,12.4,7.3,12.379999999999999,70.29,15140.0,33.51,39.22,53.103
Республика Северная Осетия — Алания,704507,17492.3,33.46,36.27,100.8,16.9,9.3,9.540000000000001,74.2,8597.0,39.26,50.35,20.641
Республика Татарстан,3861883,24003.3,32.58,35.83,128.7,12.7,4.0,13.51,72.81,7695.0,63.06,26.06,66.923
Республика Хакасия,536289,15681.5,33.07,36.08,167.6,21.6,5.8,25.708,68.68,9076.0,36.02,60.99,27.753
Ростовская область,4239040,20025.7,34.16,37.04,123.6,15.9,6.1,14.678999999999998,71.9,9386.0,52.13,39.49,51.961999999999996
Рязанская область,1132771,18814.0,32.69,35.49,184.9,25.8,4.7,9.128,71.46,8753.0,47.68,61.34,44.001000000000005
Самарская область,3209325,20773.7,32.26,35.89,121.0,13.4,3.4,15.365,70.35,8786.0,54.13,54.26,57.933
Санкт-Петербург,5208690,28135.3,34.34,37.72,139.1,6.8,2.1,10.879000000000001,74.42,9995.0,75.63,26.2,74.564
Саратовская область,2490277,15917.2,33.46,36.37,136.6,14.5,4.7,11.936,71.4,8266.0,46.17,57.22,43.376000000000005
Сахалинская область,487842,35964.7,41.93,44.89,165.6,22.1,6.3,23.076,67.99,13672.0,41.04,44.37,62.917
Свердловская область,4328739,25552.4,33.48,35.9,81.0,12.1,6.5,16.7,69.83,9602.0,55.72,59.42,59.486000000000004
Смоленская область,961710,18997.2,33.64,36.39,128.2,19.0,6.2,14.263,69.74,10258.0,45.66,35.55,33.757
Ставропольский край,2800535,16856.6,35.03,38.29,110.6,17.1,5.6,12.952000000000002,73.36,8231.0,52.06,47.3,43.071999999999996
Тамбовская область,1056358,19473.0,33.51,36.16,162.3,19.1,4.6,12.455,71.67,8168.0,47.53,48.02,43.765
Тверская область,1309907,19554.5,33.76,36.53,139.7,20.8,5.6,17.433,69.1,9741.0,63.06,49.61,39.309
Томская область,1075608,21356.2,32.18,35.66,79.1,10.0,7.7,21.503,71.25,10578.0,39.4,46.03,48.132
Тульская область,1510008,20448.7,33.32,35.8,175.4,24.2,4.1,8.721,70.06,8949.0,44.01,45.56,52.025
Тюменская область,3598389,21075.6,34.11,36.06,181.7,15.8,6.2,21.675,70.58,9815.0,48.88,37.44,61.367
Удмуртская Республика,1517318,19232.7,33.88,36.52,90.9,13.8,5.0,19.472,70.46,8726.0,55.23,47.98,44.867
Ульяновская область,1260085,18023.0,33.25,36.41,132.5,15.6,4.9,13.037,70.46,8855.0,45.18,42.46,38.963
Хабаровский край,1336427,28025.1,36.99,39.36,139.0,14.7,5.3,23.122999999999998,68.72,13417.0,47.48,58.78,46.956
Ханты-Мансийский автономный округ — Югра,1619414,34787.4,34.85,36.82,125.5,15.1,4.4,14.754,72.58,14316.0,44.85,34.58,72.87100000000001
Челябинская область,3498995,19637.7,32.27,34.89,130.9,15.4,7.0,20.188,69.9,9397.0,58.84,50.45,54.43600000000001
Чеченская Республика,1382220,17159.9,33.63,35.97,28.8,12.0,17.1,2.5,73.45,8162.0,52.69,13.21,27.963
Чувашская Республика,1237350,14843.1,33.18,36.58,130.4,16.8,5.0,12.671,71.35,8301.0,33.11,22.05,39.741
Чукотский автономный округ,50349,47185.7,50.0,54.0,57.6,9.9,4.0,16.106,64.16,16537.0,44.8,46.54,29.92
Ямало-Ненецкий автономный округ,537045,49469.7,36.32,37.85,114.7,10.8,3.6,17.793,71.7,15851.0,25.83,50.54,64.581
Ярославская область,1271771,20761.2,31.54,34.25,148.4,18.3,5.3,17.111,70.98,8680.0,49.16,51.13,46.376000000000005
Севастополь,407618,15345.7,37.69,39.52,161.6,12.0,8.3,20.303,70.67,8771.0,34.19,48.8,39.25
