Регион,Население,Медианная зп (руб),92,95,ДТП на 100000 чел,ДТП с погибшими (на 100000 чел),Уровень безработицы. %,Преступность(кол-во на 10000 чел),Продолжительность жизни,Прожиточный минимум,Качество жизни,Индекс привлекательности рабочей силы,Социальная ориентированность бюджетов
Республика Дагестан,3132268,19100.0,44.56,47.17,133.0,54.0,13.5,4.515259,79.1,10043.0,63.1123917,35.15,35.67
Республика Ингушетия,515970,19600.0,43.18,45.77,121.0,58.0,26.3,3.699828,83.4,9884.0,66.49954891,19.53,48.51
Республика Калмыкия,270139,21300.0,43.77,47.92,259.0,184.0,8.6,10.61305,74.84,9919.0,32.216935,27.21,54.03
Республика Карелия,609439,32800.0,44.31,47.32,157.0,102.0,7.4,22.06784,71.46,13795.0,15.5922581,35.95,41.91
Республика Коми,813859,39500.0,44.46,46.73,260.0,138.0,7.8,21.1388,71.3,13791.0,16.00383451,38.9,49.9
Республика Марий Эл,1903707,24800.0,45.58,50.73,264.0,92.0,5.7,3.990635,72.71,10509.0,29.08954357,41.95,52.74
Республика Мордовия,676184,22100.0,42.4,46.29,240.0,108.0,4.1,12.21265,72.9,9708.0,29.33044157,39.58,35.78
Республика Саха (Якутия),779573,22000.0,42.78,46.52,235.0,129.0,4.7,15.58032,73.95,9181.0,31.56805021,44.77,40.87
Республика Северная Осетия — Алания,984703,54100.0,54.6,55.14,180.0,81.0,7.4,8.200441999999999,73.0,18161.0,27.92612234,35.61,32.75
Республика Татарстан,693449,20200.0,42.58,45.92,184.0,112.0,13.6,77.66396999999999,75.75,9414.0,25.544222199999997,35.51,45.41
Республика Тыва,3894507,29500.0,42.48,44.65,220.0,98.0,3.2,2.1943729999999997,75.03,9295.0,24.51811863,65.59,56.94
Республика Хакасия,330327,27600.0,41.94,44.78,632.0,202.0,11.8,32.81294,67.57,10778.0,11.25628706,13.96,41.89
Рязанская область,4185233,26000.0,44.15,48.66,102.0,57.0,4.6,2.394849,73.69,10351.0,21.41112703,52.91,44.03
Самарская область,1098998,26900.0,42.65,46.03,223.0,153.0,4.4,40.33856,73.2,10123.0,32.87853767,49.36,45.52
Санкт-Петербург,3155390,28600.0,42.39,46.53,203.0,104.0,3.7,19.42993,72.77,10659.0,22.99729606,52.81,48.71
Саратовская область,5388759,49300.0,43.8,47.39,191.0,85.0,1.5,5.671621,76.31,11465.3,27.76680304,75.88,93.43
Сахалинская область,2396961,22600.0,43.18,46.49,222.0,127.0,4.2,3.7497479999999994,73.07,9339.0,26.1859924,46.75,43.54
Смоленская область,4291886,31400.0,42.65,45.78,98.0,66.0,4.0,3.4406790000000003,71.81,10811.0,25.7678074,56.8,58.12
Ставропольский край,513149,24100.0,45.53,50.74,281.0,122.0,3.6,67.70743,73.53,11538.0,11.60393017,46.28,55.05
Тамбовская область,921620,23400.0,43.62,46.91,240.0,99.0,4.9,14.380109999999998,71.89,10810.0,7.668663671,51.52,39.01
Тверская область,2794625,22200.0,44.78,49.24,202.0,96.0,4.6,43.555400000000006,74.66,9250.0,68.54106884,46.61,39.67
Томская область,995761,25700.0,43.75,47.48,216.0,124.0,3.8,17.46604,73.56,9879.0,15.36620783,39.46,39.09
Тульская область,1246759,34300.0,43.52,46.51,234.0,145.0,4.1,10.44949,71.24,10676.68,24.21267381,43.75,40.31
Тюменская область,1070544,28900.0,41.09,43.73,111.0,55.0,4.8,23.12563,72.85,11656.0,27.7041561,53.2,41.2
Удмуртская Республика,1450675,37400.0,43.46,47.55,201.0,131.0,3.9,19.35306,72.21,10621.0,19.99662283,55.81,51.12
Ульяновская область,3778024,26300.0,42.18,46.5,284.0,175.0,4.0,3.3678979999999994,72.75,11447.0,48.59382356,47.46,79.78
Хабаровский край,1493700,23700.0,43.41,46.65,267.0,129.0,4.1,15.19381,72.8,9830.0,40.13272791,47.91,49.02
Ханты-Мансийский автономный округ — Югра,1219240,40500.0,42.49,45.72,194.0,98.0,4.1,17.20498,72.96,10159.0,17.13426459,58.46,45.92
Челябинская область,1302918,58000.0,45.41,47.46,255.0,128.0,3.5,48.63391,70.05,14417.0,20.1241505,52.19,45.21
Чеченская Республика,1688378,28400.0,44.18,46.98,122.0,86.0,2.3,1.859181,75.04,15376.0,8.849961736000001,36.6,80.05
Чукотский автономный округ,1500490,22100.0,42.83,45.48,44.0,18.0,13.5,0.5238289,75.88,10998.0,36.89245673,27.72,61.83
Севастополь,513149,12600.0,45.53,50.74,281.0,122.0,3.6,11.895,73.53,11538.0,54.25,51.2,46.5
Республика Крым,1903707,15600.0,45.58,50.73,264.0,107.0,7.7,11.389,72.71,10509.0,46.083999999999996,56.5,42.3
